"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_15","MAPK8","0.149","0.851","1","low"
"hpc_21","MAPK8","0.24","0.76","1","low"
"hpc_20","MAPK8","0.135","0.865","1","low"
"hpc_1","MAPK8","0.157","0.843","1","low"
"hpc_0","MAPK8","0.151","0.849","1","low"
"hpc_14","MAPK8","0.186","0.814","1","low"
"hpc_10","MAPK8","0.169","0.831","1","low"
"hpc_22","SRC","0.11","0.89","1","low"
"hpc_21","SRC","0.109","0.891","1","low"
"hpc_3","SRC","0.112","0.888","1","low"
"hpc_27","SRC","0.125","0.875","1","low"
"hpc_15","SRC","0.141","0.859","1","low"
"hpc_14","SRC","0.194","0.806","1","low"
"hpc_20","SRC","0.124","0.876","1","low"
"hpc_16","SRC","0.092","0.908","1","low"
"hpc_31","SRC","0.114","0.886","1","low"
"hpc_7","SRC","0.138","0.862","1","low"
"hpc_44","SRC","0.113","0.887","1","low"
"hpc_9","SRC","0.122","0.878","1","low"
"hpc_8","SRC","0.123","0.877","1","low"
"hpc_37","SRC","0.108","0.892","1","low"
"hpc_32","SRC","0.124","0.876","1","low"
"hpc_41","SRC","0.115","0.885","1","low"
"hpc_39","SRC","0.108","0.892","1","low"
"hpc_31","PLK1","0.117","0.883","1","low"
"hpc_3","PLK1","0.147","0.853","1","low"
"hpc_37","PLK1","0.158","0.842","1","low"
"hpc_32","PLK1","0.19","0.81","1","low"
"hpc_21","PLK1","0.221","0.779","1","low"
"hpc_20","PLK1","0.138","0.862","1","low"
"hpc_27","PLK1","0.126","0.874","1","low"
"hpc_22","PLK1","0.178","0.822","1","low"
"hpc_39","PLK1","0.146","0.854","1","low"
"hpc_0","SRC","0.162","0.838","1","low"
"hpc_9","PLK1","0.304","0.696","1","low"
"hpc_10","SRC","0.107","0.893","1","low"
"hpc_1","SRC","0.104","0.896","1","low"
"hpc_44","PLK1","0.133","0.867","1","low"
"hpc_41","PLK1","0.136","0.864","1","low"
"hpc_8","PLK1","0.212","0.788","1","low"
"hpc_7","PLK1","0.232","0.768","1","low"
"hpc_27","MAPK14","0.138","0.862","1","low"
"hpc_14","MAP3K14","0.147","0.853","1","low"
"hpc_10","MAP3K14","0.083","0.917","1","low"
"hpc_16","MAP3K14","0.073","0.927","1","low"
"hpc_15","MAP3K14","0.127","0.873","1","low"
"hpc_9","LCK","0.139","0.861","1","low"
"hpc_8","LCK","0.161","0.839","1","low"
"hpc_1","MAP3K14","0.159","0.841","1","low"
"hpc_0","MAP3K14","0.151","0.849","1","low"
"hpc_20","MAP3K14","0.1","0.9","1","low"
"hpc_32","MAP3K14","0.186","0.814","1","low"
"hpc_31","MAP3K14","0.187","0.813","1","low"
"hpc_39","MAP3K14","0.116","0.884","1","low"
"hpc_37","MAP3K14","0.133","0.867","1","low"
"hpc_22","MAP3K14","0.157","0.843","1","low"
"hpc_21","MAP3K14","0.136","0.864","1","low"
"hpc_3","MAP3K14","0.138","0.862","1","low"
"hpc_27","MAP3K14","0.107","0.893","1","low"
"hpc_20","LCK","0.292","0.708","1","low"
"hpc_16","LCK","0.269","0.731","1","low"
"hpc_22","LCK","0.282","0.718","1","low"
"hpc_21","LCK","0.178","0.822","1","low"
"hpc_10","LCK","0.142","0.858","1","low"
"hpc_1","LCK","0.201","0.799","1","low"
"hpc_15","LCK","0.192","0.808","1","low"
"hpc_14","LCK","0.393","0.607","1","low"
"hpc_27","LCK","0.238","0.762","1","low"
"hpc_41","LCK","0.204","0.796","1","low"
"hpc_39","LCK","0.199","0.801","1","low"
"hpc_7","LCK","0.185","0.815","1","low"
"hpc_44","LCK","0.192","0.808","1","low"
"hpc_31","LCK","0.386","0.614","1","low"
"hpc_3","LCK","0.162","0.838","1","low"
"hpc_37","LCK","0.214","0.786","1","low"
"hpc_32","LCK","0.282","0.718","1","low"
"hpc_7","MAPK1","0.234","0.766","1","low"
"hpc_44","MAPK1","0.122","0.878","1","low"
"hpc_9","MAPK1","0.174","0.826","1","low"
"hpc_8","MAPK1","0.157","0.843","1","low"
"hpc_37","MAPK1","0.12","0.88","1","low"
"hpc_32","MAPK1","0.111","0.889","1","low"
"hpc_41","MAPK1","0.101","0.899","1","low"
"hpc_39","MAPK1","0.104","0.896","1","low"
"hpc_0","MAPK14","0.116","0.884","1","low"
"hpc_20","MAPK14","0.126","0.874","1","low"
"hpc_16","MAPK14","0.082","0.918","1","low"
"hpc_22","MAPK14","0.12","0.88","1","low"
"hpc_21","MAPK14","0.225","0.775","1","low"
"hpc_10","MAPK14","0.162","0.838","1","low"
"hpc_1","MAPK14","0.152","0.848","1","low"
"hpc_15","MAPK14","0.137","0.863","1","low"
"hpc_14","MAPK14","0.129","0.871","1","low"
"hpc_0","MAPK1","0.136","0.864","1","low"
"hpc_9","MAP3K14","0.184","0.816","1","low"
"hpc_10","MAPK1","0.139","0.861","1","low"
"hpc_1","MAPK1","0.117","0.883","1","low"
"hpc_44","MAP3K14","0.117","0.883","1","low"
"hpc_41","MAP3K14","0.111","0.889","1","low"
