"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_0","Hypoxia","0.71","0.29","0.938728","high"
"hpc_15","Androgen","0.209","0.791","0.940467","low"
"hpc_20","MAPK","0.155","0.845","0.940755","low"
"hpc_8","Androgen","0.185","0.815","0.941031","low"
"hpc_32","NFkB","0.141","0.859","0.94137","low"
"hpc_7","Hypoxia","0.089","0.911","0.944741","low"
"hpc_31","Estrogen","0.281","0.719","0.945164","low"
"hpc_32","Hypoxia","0.094","0.906","0.948336","low"
"hpc_10","Estrogen","0.263","0.737","0.948782","low"
"hpc_21","MAPK","0.151","0.849","0.95088","low"
"hpc_8","NFkB","0.128","0.872","0.951891","low"
"hpc_16","NFkB","0.118","0.882","0.953514","low"
"hpc_1","JAK-STAT","0.104","0.896","0.953916","low"
"hpc_41","Hypoxia","0.076","0.924","0.954686","low"
"hpc_8","TNFa","0.462","0.538","0.956444","low"
"hpc_44","NFkB","0.117","0.883","0.960155","low"
"hpc_14","Androgen","0.199","0.801","0.962575","low"
"hpc_10","JAK-STAT","0.093","0.907","0.963795","low"
"hpc_7","MAPK","0.153","0.847","0.964065","low"
"hpc_9","MAPK","0.142","0.858","0.964819","low"
"hpc_44","MAPK","0.154","0.846","0.964888","low"
"hpc_27","MAPK","0.128","0.872","0.965059","low"
"hpc_39","MAPK","0.145","0.855","0.971197","low"
"hpc_39","NFkB","0.114","0.886","0.974774","low"
"hpc_31","MAPK","0.119","0.881","0.978889","low"
"hpc_9","Hypoxia","0.076","0.924","0.98","low"
"hpc_9","Androgen","0.149","0.851","0.980576","low"
"hpc_3","NFkB","0.084","0.916","0.980803","low"
"hpc_37","MAPK","0.124","0.876","0.983086","low"
"hpc_7","NFkB","0.094","0.906","0.983256","low"
"hpc_22","MAPK","0.61","0.39","0.988235","high"
"hpc_41","MAPK","0.124","0.876","0.993036","low"
"hpc_21","NFkB","0.068","0.932","0.996031","low"
"hpc_41","NFkB","0.09","0.91","0.999216","low"
"hpc_16","Estrogen","0.085","0.915","1","low"
"hpc_21","Estrogen","0.042","0.958","1","low"
"hpc_31","p53","0.105","0.895","1","low"
"hpc_22","Estrogen","0.146","0.854","1","low"
"hpc_3","Estrogen","0.127","0.873","1","low"
"hpc_32","Estrogen","0.124","0.876","1","low"
"hpc_27","Estrogen","0.096","0.904","1","low"
"hpc_27","p53","0.101","0.899","1","low"
"hpc_3","p53","0.106","0.894","1","low"
"hpc_8","p53","0.141","0.859","1","low"
"hpc_7","p53","0.128","0.872","1","low"
"hpc_44","p53","0.105","0.895","1","low"
"hpc_10","Hypoxia","0.074","0.926","1","low"
"hpc_44","PI3K","0.202","0.798","1","low"
"hpc_9","p53","0.118","0.882","1","low"
"hpc_32","p53","0.122","0.878","1","low"
"hpc_1","Estrogen","0.06","0.94","1","low"
"hpc_15","Estrogen","0.092","0.908","1","low"
"hpc_41","p53","0.127","0.873","1","low"
"hpc_39","p53","0.11","0.89","1","low"
"hpc_37","p53","0.109","0.891","1","low"
"hpc_1","Hypoxia","0.098","0.902","1","low"
"hpc_14","Hypoxia","0.106","0.894","1","low"
"hpc_0","Hypoxia","0.133","0.867","1","low"
"hpc_10","p53","0.124","0.876","1","low"
"hpc_9","Estrogen","0.045","0.955","1","low"
"hpc_15","Hypoxia","0.144","0.856","1","low"
"hpc_22","Hypoxia","0.116","0.884","1","low"
"hpc_27","Hypoxia","0.107","0.893","1","low"
"hpc_21","Hypoxia","0.098","0.902","1","low"
"hpc_16","Hypoxia","0.091","0.909","1","low"
"hpc_20","Hypoxia","0.12","0.88","1","low"
"hpc_14","p53","0.142","0.858","1","low"
"hpc_21","p53","0.107","0.893","1","low"
"hpc_20","p53","0.144","0.856","1","low"
"hpc_22","p53","0.197","0.803","1","low"
"hpc_37","Estrogen","0.084","0.916","1","low"
"hpc_39","Estrogen","0.123","0.877","1","low"
"hpc_16","p53","0.132","0.868","1","low"
"hpc_8","Estrogen","0.1","0.9","1","low"
"hpc_15","p53","0.168","0.832","1","low"
"hpc_7","Estrogen","0.043","0.957","1","low"
"hpc_41","Estrogen","0.147","0.853","1","low"
"hpc_44","Estrogen","0.175","0.825","1","low"
"hpc_16","MAPK","0.082","0.918","1","low"
"hpc_14","Trail","0.131","0.869","1","low"
"hpc_15","Trail","0.213","0.787","1","low"
"hpc_16","Trail","0.088","0.912","1","low"
"hpc_15","WNT","0.065","0.935","1","low"
"hpc_1","Trail","0.141","0.859","1","low"
"hpc_10","Trail","0.118","0.882","1","low"
"hpc_20","Trail","0.089","0.911","1","low"
"hpc_3","Trail","0.094","0.906","1","low"
"hpc_31","Trail","0.137","0.863","1","low"
"hpc_32","Trail","0.246","0.754","1","low"
"hpc_21","Trail","0.176","0.824","1","low"
"hpc_22","Trail","0.126","0.874","1","low"
"hpc_27","Trail","0.16","0.84","1","low"
"hpc_16","WNT","0.035","0.965","1","low"
"hpc_27","TNFa","0.158","0.842","1","low"
"hpc_21","WNT","0.021","0.979","1","low"
"hpc_3","TNFa","0.229","0.771","1","low"
"hpc_20","TNFa","0.13","0.87","1","low"
"hpc_21","TNFa","0.269","0.731","1","low"
"hpc_22","TNFa","0.441","0.559","1","low"
"hpc_31","TNFa","0.26","0.74","1","low"
"hpc_41","TNFa","0.348","0.652","1","low"
"hpc_44","TNFa","0.209","0.791","1","low"
"hpc_7","TNFa","0.167","0.833","1","low"
"hpc_20","WNT","0.106","0.894","1","low"
"hpc_37","TNFa","0.246","0.754","1","low"
"hpc_39","TNFa","0.271","0.729","1","low"
"hpc_31","VEGF","0.079","0.921","1","low"
"hpc_32","VEGF","0.13","0.87","1","low"
"hpc_37","VEGF","0.093","0.907","1","low"
"hpc_22","VEGF","0.084","0.916","1","low"
"hpc_27","VEGF","0.122","0.878","1","low"
"hpc_3","VEGF","0.081","0.919","1","low"
"hpc_39","VEGF","0.141","0.859","1","low"
"hpc_0","WNT","0.025","0.975","1","low"
"hpc_1","WNT","0.256","0.744","1","low"
"hpc_10","WNT","0.093","0.907","1","low"
"hpc_41","VEGF","0.115","0.885","1","low"
"hpc_44","VEGF","0.103","0.897","1","low"
"hpc_7","VEGF","0.097","0.903","1","low"
"hpc_21","VEGF","0.261","0.739","1","low"
"hpc_44","Trail","0.146","0.854","1","low"
"hpc_7","Trail","0.209","0.791","1","low"
"hpc_8","Trail","0.148","0.852","1","low"
"hpc_37","Trail","0.147","0.853","1","low"
"hpc_39","Trail","0.152","0.848","1","low"
"hpc_41","Trail","0.136","0.864","1","low"
"hpc_0","VEGF","0.198","0.802","1","low"
"hpc_15","VEGF","0.104","0.896","1","low"
"hpc_16","VEGF","0.063","0.937","1","low"
"hpc_20","VEGF","0.102","0.898","1","low"
"hpc_1","VEGF","0.165","0.835","1","low"
"hpc_10","VEGF","0.097","0.903","1","low"
"hpc_14","VEGF","0.253","0.747","1","low"
"hpc_16","TNFa","0.306","0.694","1","low"
"hpc_39","PI3K","0.127","0.873","1","low"
"hpc_41","PI3K","0.161","0.839","1","low"
"hpc_1","p53","0.163","0.837","1","low"
"hpc_31","PI3K","0.186","0.814","1","low"
"hpc_32","PI3K","0.127","0.873","1","low"
"hpc_37","PI3K","0.108","0.892","1","low"
"hpc_0","p53","0.136","0.864","1","low"
"hpc_1","TGFb","0.366","0.634","1","low"
"hpc_10","TGFb","0.197","0.803","1","low"
"hpc_14","TGFb","0.241","0.759","1","low"
"hpc_7","PI3K","0.121","0.879","1","low"
"hpc_8","PI3K","0.131","0.869","1","low"
"hpc_9","PI3K","0.084","0.916","1","low"
"hpc_3","PI3K","0.125","0.875","1","low"
"hpc_0","PI3K","0.158","0.842","1","low"
"hpc_1","PI3K","0.088","0.912","1","low"
"hpc_10","PI3K","0.146","0.854","1","low"
"hpc_10","NFkB","0.091","0.909","1","low"
"hpc_14","NFkB","0.07","0.93","1","low"
"hpc_14","WNT","0.095","0.905","1","low"
"hpc_14","PI3K","0.283","0.717","1","low"
"hpc_21","PI3K","0.099","0.901","1","low"
"hpc_22","PI3K","0.133","0.867","1","low"
"hpc_27","PI3K","0.107","0.893","1","low"
"hpc_15","PI3K","0.128","0.872","1","low"
"hpc_16","PI3K","0.087","0.913","1","low"
"hpc_20","PI3K","0.258","0.742","1","low"
"hpc_31","WNT","0.078","0.922","1","low"
"hpc_3","WNT","0.132","0.868","1","low"
"hpc_27","WNT","0.066","0.934","1","low"
"hpc_39","WNT","0.094","0.906","1","low"
"hpc_37","WNT","0.037","0.963","1","low"
"hpc_32","WNT","0.063","0.937","1","low"
"hpc_22","WNT","0.03","0.97","1","low"
"hpc_9","TGFb","0.378","0.622","1","low"
"hpc_0","TNFa","0.458","0.542","1","low"
"hpc_10","TNFa","0.468","0.532","1","low"
"hpc_41","TGFb","0.19","0.81","1","low"
"hpc_7","TGFb","0.26","0.74","1","low"
"hpc_8","TGFb","0.427","0.573","1","low"
"hpc_39","TGFb","0.284","0.716","1","low"
"hpc_9","WNT","0.086","0.914","1","low"
"hpc_22","TGFb","0.302","0.698","1","low"
"hpc_27","TGFb","0.277","0.723","1","low"
"hpc_15","TGFb","0.245","0.755","1","low"
"hpc_16","TGFb","0.37","0.63","1","low"
"hpc_21","TGFb","0.238","0.762","1","low"
"hpc_3","TGFb","0.303","0.697","1","low"
"hpc_44","WNT","0.048","0.952","1","low"
"hpc_37","TGFb","0.213","0.787","1","low"
"hpc_41","WNT","0.057","0.943","1","low"
"hpc_32","TGFb","0.229","0.771","1","low"
"hpc_8","WNT","0.039","0.961","1","low"
"hpc_7","WNT","0.044","0.956","1","low"
"hpc_0","Estrogen","0.177","0.823","1","low"
"hpc_3","JAK-STAT","0.099","0.901","1","high"
"hpc_31","JAK-STAT","0.121","0.879","1","high"
"hpc_32","JAK-STAT","0.089","0.911","1","high"
"hpc_27","JAK-STAT","0.077","0.923","1","high"
"hpc_20","JAK-STAT","0.128","0.872","1","high"
"hpc_21","JAK-STAT","0.092","0.908","1","high"
