"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_32","HNF4A","0.213","0.787","1","high"
"hpc_41","HNF4A","0.164","0.836","1","high"
"hpc_39","HNF4A","0.203","0.797","1","high"
"hpc_27","HNF4A","0.14","0.86","1","high"
"hpc_22","HNF4A","0.21","0.79","1","high"
"hpc_31","HNF4A","0.321","0.679","1","high"
"hpc_3","HNF4A","0.215","0.785","1","high"
"hpc_9","HNF1A","0.087","0.913","1","high"
"hpc_22","HNF1A","0.11","0.89","1","high"
"hpc_21","HNF1A","0.122","0.878","1","high"
"hpc_3","HNF1A","0.125","0.875","1","high"
"hpc_27","HNF1A","0.336","0.664","1","high"
"hpc_15","HNF1A","0.067","0.933","1","high"
"hpc_14","HNF1A","0.096","0.904","1","high"
"hpc_20","HNF1A","0.12","0.88","1","high"
"hpc_16","HNF1A","0.161","0.839","1","high"
"hpc_44","HNF1A","0.067","0.933","1","high"
"hpc_41","HNF1A","0.095","0.905","1","high"
"hpc_8","HNF1A","0.094","0.906","1","high"
"hpc_7","HNF1A","0.061","0.939","1","high"
"hpc_32","HNF1A","0.111","0.889","1","high"
"hpc_31","HNF1A","0.106","0.894","1","high"
"hpc_39","HNF1A","0.103","0.897","1","high"
"hpc_37","HNF1A","0.123","0.877","1","high"
"hpc_0","PRDM14","0.21","0.79","1","high"
"hpc_9","MYC","0.26","0.74","1","high"
"hpc_10","PRDM14","0.458","0.542","1","high"
"hpc_1","PRDM14","0.339","0.661","1","high"
"hpc_41","MYC","0.328","0.672","1","high"
"hpc_39","MYC","0.227","0.773","1","high"
"hpc_8","MYC","0.209","0.791","1","high"
"hpc_44","MYC","0.267","0.733","1","high"
"hpc_22","PRDM14","0.139","0.861","1","high"
"hpc_21","PRDM14","0.147","0.853","1","high"
"hpc_3","PRDM14","0.151","0.849","1","high"
"hpc_27","PRDM14","0.638","0.362","1","high"
"hpc_15","PRDM14","0.187","0.813","1","high"
"hpc_14","PRDM14","0.455","0.545","1","high"
"hpc_20","PRDM14","0.233","0.767","1","high"
"hpc_16","PRDM14","0.257","0.743","1","high"
"hpc_37","MYC","0.254","0.746","1","high"
"hpc_1","MYC","0.248","0.752","1","high"
"hpc_0","MYC","0.451","0.549","1","high"
"hpc_14","MYC","0.371","0.629","1","high"
"hpc_10","MYC","0.496","0.504","1","high"
"hpc_7","HNF4A","0.597","0.403","1","high"
"hpc_44","HNF4A","0.142","0.858","1","high"
"hpc_9","HNF4A","0.188","0.812","1","high"
"hpc_8","HNF4A","0.225","0.775","1","high"
"hpc_3","MYC","0.339","0.661","1","high"
"hpc_27","MYC","0.373","0.627","1","high"
"hpc_32","MYC","0.259","0.741","1","high"
"hpc_31","MYC","0.289","0.711","1","high"
"hpc_16","MYC","0.236","0.764","1","high"
"hpc_15","MYC","0.268","0.732","1","high"
"hpc_22","MYC","0.322","0.678","1","high"
"hpc_20","MYC","0.433","0.567","1","high"
"hpc_10","HNF1A","0.059","0.941","1","high"
"hpc_7","E2F4","0.486","0.514","1","high"
"hpc_41","E2F4","0.645","0.355","1","high"
"hpc_0","EGR1","0.323","0.677","1","high"
"hpc_9","E2F4","0.696","0.304","1","high"
"hpc_3","E2F4","0.481","0.519","1","high"
"hpc_27","E2F4","0.56","0.44","1","high"
"hpc_39","E2F4","0.463","0.537","1","high"
"hpc_32","E2F4","0.533","0.467","1","high"
"hpc_20","EGR1","0.348","0.652","1","high"
"hpc_16","EGR1","0.336","0.664","1","high"
"hpc_22","EGR1","0.28","0.72","1","high"
"hpc_21","EGR1","0.445","0.555","1","high"
"hpc_10","EGR1","0.476","0.524","1","high"
"hpc_1","EGR1","0.309","0.691","1","high"
"hpc_15","EGR1","0.242","0.758","1","high"
"hpc_14","EGR1","0.244","0.756","1","high"
"hpc_9","E2F1","0.06","0.94","1","high"
"hpc_20","E2F1","0.256","0.744","1","high"
"hpc_16","E2F1","0.069","0.931","1","high"
"hpc_22","E2F1","0.254","0.746","1","high"
"hpc_21","E2F1","0.08","0.92","1","high"
"hpc_10","E2F1","0.327","0.673","1","high"
"hpc_1","E2F1","0.072","0.928","1","high"
"hpc_15","E2F1","0.091","0.909","1","high"
"hpc_14","E2F1","0.081","0.919","1","high"
"hpc_44","E2F1","0.137","0.863","1","high"
"hpc_39","E2F1","0.222","0.778","1","high"
"hpc_8","E2F1","0.182","0.818","1","high"
"hpc_7","E2F1","0.089","0.911","1","high"
"hpc_31","E2F1","0.142","0.858","1","high"
"hpc_3","E2F1","0.114","0.886","1","high"
"hpc_37","E2F1","0.147","0.853","1","high"
"hpc_32","E2F1","0.138","0.862","1","high"
"hpc_31","ETS1","0.188","0.812","1","high"
"hpc_3","ETS1","0.219","0.781","1","high"
"hpc_37","ETS1","0.143","0.857","1","high"
"hpc_32","ETS1","0.162","0.838","1","high"
"hpc_21","ETS1","0.126","0.874","1","high"
"hpc_20","ETS1","0.154","0.846","1","high"
"hpc_27","ETS1","0.155","0.845","1","high"
"hpc_22","ETS1","0.143","0.857","1","high"
"hpc_9","ETS1","0.216","0.784","1","high"
"hpc_8","ETS1","0.131","0.869","1","high"
"hpc_1","HNF1A","0.035","0.965","1","high"
"hpc_0","HNF1A","0.027","0.973","1","high"
"hpc_41","ETS1","0.531","0.469","1","high"
"hpc_39","ETS1","0.173","0.827","1","high"
"hpc_7","ETS1","0.348","0.652","1","high"
"hpc_44","ETS1","0.146","0.854","1","high"
"hpc_16","ETS1","0.082","0.918","1","high"
"hpc_39","EGR1","0.339","0.661","1","high"
"hpc_37","EGR1","0.246","0.754","1","high"
"hpc_44","EGR1","0.229","0.771","1","high"
"hpc_41","EGR1","0.316","0.684","1","high"
"hpc_3","EGR1","0.3","0.7","1","high"
"hpc_27","EGR1","0.387","0.613","1","high"
"hpc_32","EGR1","0.373","0.627","1","high"
"hpc_31","EGR1","0.323","0.677","1","high"
"hpc_10","ETS1","0.504","0.496","1","high"
"hpc_1","ETS1","0.072","0.928","1","high"
"hpc_15","ETS1","0.133","0.867","1","high"
"hpc_14","ETS1","0.228","0.772","1","high"
"hpc_8","EGR1","0.301","0.699","1","high"
"hpc_7","EGR1","0.418","0.582","1","high"
"hpc_0","ETS1","0.091","0.909","1","high"
"hpc_9","EGR1","0.364","0.636","1","high"
"hpc_31","PRDM14","0.305","0.695","1","high"
"hpc_15","STAT2","0.107","0.893","1","high"
"hpc_14","STAT2","0.107","0.893","1","high"
"hpc_20","STAT2","0.239","0.761","1","high"
"hpc_16","STAT2","0.105","0.895","1","high"
"hpc_0","STAT2","0.09","0.91","1","high"
"hpc_9","STAT1","0.273","0.727","1","high"
"hpc_10","STAT2","0.28","0.72","1","high"
"hpc_1","STAT2","0.078","0.922","1","high"
"hpc_32","STAT2","0.132","0.868","1","high"
"hpc_31","STAT2","0.244","0.756","1","high"
"hpc_39","STAT2","0.129","0.871","1","high"
"hpc_37","STAT2","0.142","0.858","1","high"
"hpc_22","STAT2","0.308","0.692","1","high"
"hpc_21","STAT2","0.087","0.913","1","high"
"hpc_3","STAT2","0.141","0.859","1","high"
"hpc_27","STAT2","0.098","0.902","1","high"
"hpc_8","STAT1","0.231","0.769","1","high"
"hpc_21","STAT1","0.389","0.611","1","high"
"hpc_20","STAT1","0.293","0.707","1","high"
"hpc_27","STAT1","0.433","0.567","1","high"
"hpc_22","STAT1","0.184","0.816","1","high"
"hpc_14","STAT1","0.319","0.681","1","high"
"hpc_10","STAT1","0.289","0.711","1","high"
"hpc_16","STAT1","0.313","0.687","1","high"
